Name,SoldPrice,AskPrice,Rooms,Size,MonthlyRent,YearlyRent,YearBuilt,Region,Kommun,Lat,Log
Cedergrensvägen 16 ACCEPTERAT PRIS,1300000,1350000.0,1.0,17.0,873.0,,1968.0,Midsommarkransen,Stockholms,59.3019987,17.9975179
Storängsvägen 11F,1700000,1695000.0,1.0,39.0,2734.0,5600.0,1959.0,Åkersberga,Österåker,59.4823516,18.2943981
Enbäcksvägen 14 A Hiss,1545000,1500000.0,3.0,83.0,5068.0,200.0,1991.0,Knutby,Norrtälje,59.766667,18.7
Bryggargatan 9,1490000,1490000.0,2.0,42.0,2484.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,1190000,1190000.0,1.0,29.0,1715.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,1650000,1650000.0,2.0,44.0,2602.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,1590000,1590000.0,2.0,44.0,2602.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,1690000,1690000.0,2.0,44.0,2602.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,1790000,1790000.0,2.0,42.0,2484.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,1890000,1890000.0,2.0,42.0,2484.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,2190000,2190000.0,3.0,56.0,3312.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Bryggargatan 9,3590000,3590000.0,4.0,73.0,4317.0,,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Timotejvägen 7 3tr,1580000,1550000.0,2.0,44.0,3287.0,,1971.0,Botkyrka,Botkyrka,59.2034494,17.8545982
Centralgatan 36b,1275000,1295000.0,,41.0,3566.0,1920.0,1960.0,Nynäshamn,Nynäshamn,58.9056457,17.9470987
